x,y
826,-8.722623136421791e-06
827,-3.343293906213601e-05
828,-1.6283358661313126e-06
829,3.682359957754973e-05
830,1.0929280971866341e-05
831,-2.5185668768849866e-05
832,-6.714109817324698e-06
833,1.0968222871615837e-05
834,-3.2748045379145027e-06
835,1.3248701620433836e-05
836,3.278277819991263e-05
837,2.333013929619362e-05
838,2.8830706786016954e-05
839,1.1048047344561966e-05
840,-2.850299516362492e-05
841,-1.9380290770491663e-05
842,-2.945281381931447e-06
843,2.8489048939719605e-05
844,1.9100404953250325e-05
845,-2.6738638783160916e-05
846,-4.014224443227234e-06
847,1.8771276189899185e-05
848,2.3705726386220763e-05
849,1.3319327484786331e-05
850,-7.885149793087503e-06
851,-1.0009966390061784e-05
852,-4.623842882879852e-06
853,5.65486328960431e-06
854,3.205446474426147e-05
855,4.5361469725558256e-05
856,3.131888599446032e-05
857,1.4867857218393821e-05
858,3.23675146026669e-05
859,3.3257512521436665e-05
860,-3.0988094757295457e-06
861,-1.465037250885173e-05
862,-2.41591340458546e-05
863,-2.9308503367355093e-05
864,-9.626960881367142e-06
865,-4.576598369609183e-06
866,-2.2290755073170552e-05
867,-1.421978008086795e-05
868,1.70800278704748e-05
869,-2.2837648210994156e-06
870,-3.05006221517581e-05
871,-2.8743175563489276e-05
872,-5.834595728676213e-06
873,1.33978018534781e-05
874,2.3026931200470675e-05
875,-5.690601805283593e-06
876,-2.947923320952608e-05
877,1.0737726686002905e-05
878,2.5660341965871197e-05
879,-1.6141460052907994e-06
880,-3.897113069025983e-05
881,-1.6290960477814546e-05
882,3.2869132048527427e-06
883,-1.2668212193098184e-05
884,1.5446703939165111e-06
885,3.860945945733806e-06
886,-1.7682038910895757e-05
887,-1.765547264295054e-05
888,-1.5873543939528905e-05
889,-1.702919647600848e-05
890,-2.38405528024057e-05
891,-5.4013000949268116e-06
892,1.3460885516623024e-05
893,-9.193944011233446e-06
894,-3.1085067932914425e-05
895,-1.641338148409993e-05
896,1.0841762044649591e-05
897,1.6210893952517733e-05
898,1.1455642567436114e-05
899,-4.6928076346479494e-06
900,-2.699380693111064e-06
901,7.391641845877944e-06
902,7.096111136878347e-06
903,2.1696560777632233e-05
904,2.8525861763664716e-05
905,-1.561781352481614e-05
906,-2.968791528651363e-05
907,-5.949340740598057e-06
908,-1.041648811099462e-05
909,-8.896092720155058e-06
910,-1.3944189449360876e-05
911,-1.995988467175274e-05
912,-1.7716627612675566e-05
913,3.123372494664891e-06
914,3.889789033621719e-05
915,1.948219998347569e-05
916,-1.2284544426760367e-05
917,1.0029814235644398e-05
918,2.1646323491085836e-05
919,7.467572731044029e-06
920,2.1126830287922617e-05
921,1.764242225187789e-05
922,-5.557798959735286e-06
923,-1.507067908710464e-05
924,-7.351039093995244e-06
925,-9.714477648355434e-06
926,5.031513424068193e-06
927,1.4883778808702275e-05
928,-1.982153166629595e-05
929,-1.651410135651091e-05
930,1.872039315099739e-05
931,3.77408384070995e-05
932,1.3026963301960572e-05
933,-9.983157980203384e-06
934,8.179322527349206e-06
935,5.959474440705515e-06
936,-6.5589712997043905e-06
937,8.267113366104272e-06
938,7.904271164937602e-06
939,-3.25204340657616e-06
940,-5.032983027311979e-06
941,3.7327272852420105e-06
942,-1.0953660983406641e-06
943,-1.6058609888799566e-05
944,-2.204568799779312e-06
945,1.7046162083690652e-05
946,-2.4376185402609388e-06
947,-1.5115214085986955e-05
948,-4.0853157824236735e-06
949,-5.29603123567183e-06
950,-4.608895712392299e-06
951,-2.1990527364458714e-05
952,-3.906070776320893e-05
953,-1.53315072035624e-05
954,-7.305325017374246e-06
955,-3.661515375129117e-05
956,-2.9604703320548146e-05
957,-7.818779111156896e-06
958,8.340828750801212e-06
959,8.498758378741274e-06
960,-1.831301586690176e-05
961,-2.3260548065375463e-05
962,1.9190834971809153e-05
963,3.7424515906143556e-05
964,2.2718845162344483e-05
965,1.1764023810341141e-05
966,-3.059208435768454e-06
967,-1.3351625360501164e-06
968,-9.2453467172558e-06
969,1.142366511950994e-05
970,1.4634552024244887e-05
971,-1.1336927659685831e-05
972,1.20498358402797e-05
973,3.365268573829016e-05
974,2.8698726912273933e-05
975,2.084483082165074e-05
976,1.7517559485139196e-05
977,1.3531240043138852e-05
978,8.885872495619949e-06
979,3.581456842582378e-06
980,-2.3820069159733196e-06
981,-9.004518780047631e-06
982,-1.6286078749641207e-05
983,-2.4226686824753126e-05
984,-3.2826343005383225e-05
985,-4.2085047291532155e-05
986,-5.2002799683199645e-05
987,-6.257960018038575e-05
988,-7.381544878309128e-05
989,-8.571034549131456e-05
990,-9.826429030505596e-05
991,-0.00011147728322431641
992,-0.0001253493242490958
993,-0.00013988041337939354
994,-0.00015507055061521043
995,-0.00017091973595654566
996,-0.00018742796940339848
997,-0.0002045952509557706
998,-0.0002224215806136612
999,-0.00023149950746898613
